name,category,evolution_stage,rarity,description,image_url
Alakazam - Base,Psychic,3,Rare Holo,"Evolves from: Kadabra

Ability (Pokémon Power) - Damage Swap: As often as you like during your turn (before your attack), you may move 1 damage counter from 1 of your Pokémon to another as long as you don't Knock Out that Pokémon. This power can't be used if Alakazam is Asleep, Confused, or Paralyzed.

Attack (Psychic + Psychic + Psychic) - Confuse Ray: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Confused.

Flavor: Its brain can outperform a supercomputer. Its intelligence quotient is said to be 5000.",https://images.pokemontcg.io/base1/1.png
Blastoise - Base,Water,3,Rare Holo,"Evolves from: Wartortle

Ability (Pokémon Power) - Rain Dance: As often as you like during your turn (before your attack), you may attach 1 Water Energy card to 1 of your Water Pokémon. (This doesn't use up your 1 Energy card attachment for the turn.) This power can't be used if Blastoise is Asleep, Confused, or Paralyzed.

Attack (Water + Water + Water) - Hydro Pump: 40+ damage. Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.

Flavor: A brutal Pokémon with pressurized water jets on its shell. They are used for high-speed tackles.",https://images.pokemontcg.io/base1/2.png
Chansey - Base,Colorless,1,Rare Holo,"Attack (Colorless + Colorless) - Scrunch: Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)

Attack (Colorless + Colorless + Colorless + Colorless) - Double-edge: 80 damage. Chansey does 80 damage to itself.

Evolves into: Blissey

Flavor: A rare and elusive Pokémon that is said to bring happiness to those who manage to catch it.",https://images.pokemontcg.io/base1/3.png
Charizard - Base,Fire,3,Rare Holo,"Evolves from: Charmeleon

Ability (Pokémon Power) - Energy Burn: As often as you like during your turn (before your attack), you may turn all Energy attached to Charizard into Fire Energy for the rest of the turn. This power can't be used if Charizard is Asleep, Confused, or Paralyzed.

Attack (Fire + Fire + Fire + Fire) - Fire Spin: 100 damage. Discard 2 Energy cards attached to Charizard in order to use this attack.

Flavor: Spits fire that is hot enough to melt boulders. Known to unintentionally cause forest fires.",https://images.pokemontcg.io/base1/4.png
Clefairy - Base,Colorless,1,Rare Holo,"Attack (Colorless) - Sing: Flip a coin. If heads, the Defending Pokémon is now Asleep.

Attack (Colorless + Colorless + Colorless) - Metronome: Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)

Evolves into: Clefable

Flavor: Its magical and cute appeal has many admirers. It is rare and found only in certain areas.",https://images.pokemontcg.io/base1/5.png
Gyarados - Base,Water,2,Rare Holo,"Evolves from: Magikarp

Attack (Water + Water + Water) - Dragon Rage: 50 damage. 

Attack (Water + Water + Water + Water) - Bubblebeam: 40 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Flavor: Rarely seen in the wild. Huge and vicious, it is capable of destroying entire cities in a rage.",https://images.pokemontcg.io/base1/6.png
Hitmonchan - Base,Fighting,1,Rare Holo,"Attack (Fighting) - Jab: 20 damage. 

Attack (Fighting + Fighting + Colorless) - Special Punch: 40 damage. 

Flavor: While seeming to do nothing, it fires punches in lightning-fast volleys that are impossible to see.",https://images.pokemontcg.io/base1/7.png
Machamp - Base,Fighting,3,Rare Holo,"Evolves from: Machoke

Ability (Pokémon Power) - Strikes Back: Whenever your opponent's attack damages Machamp (even if Machamp is Knocked Out), this power does 10 damage to the attacking Pokémon. (Don't apply Weakness and Resistance.) This power can't be used if Machamp is Asleep, Confused, or Paralyzed when your opponent attacks.

Attack (Fighting + Fighting + Fighting + Colorless) - Seismic Toss: 60 damage. 

Flavor: Using its amazing muscles, it throws powerful punches that can knock its victim clear over the horizon.",https://images.pokemontcg.io/base1/8.png
Magneton - Base,Lightning,2,Rare Holo,"Evolves from: Magnemite

Attack (Lightning + Lightning + Colorless) - Thunder Wave: 30 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Lightning + Lightning + Colorless + Colorless) - Selfdestruct: 80 damage. Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.

Evolves into: Magnezone

Flavor: Formed by several Magnemites linked together. It frequently appears when sunspots flare up.",https://images.pokemontcg.io/base1/9.png
Mewtwo - Base,Psychic,1,Rare Holo,"Attack (Psychic + Colorless) - Psychic: 10+ damage. Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.

Attack (Psychic + Psychic) - Barrier: Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.

Flavor: A scientist created this Pokémon after years of horrific gene-splicing and DNA engineering experiments.",https://images.pokemontcg.io/base1/10.png
Nidoking - Base,Grass,3,Rare Holo,"Evolves from: Nidorino

Attack (Grass + Colorless + Colorless) - Thrash: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.

Attack (Grass + Grass + Grass) - Toxic: 20 damage. The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).

Flavor: Uses its powerful tail in battle to smash, constrict, then break its prey's bones.",https://images.pokemontcg.io/base1/11.png
Ninetales - Base,Fire,2,Rare Holo,"Evolves from: Vulpix

Attack (Colorless + Colorless) - Lure: If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.

Attack (Fire + Fire + Fire + Fire) - Fire Blast: 80 damage. Discard 1 Fire Energy card attached to Ninetales in order to use this attack.

Flavor: Very smart and very vengeful. Grabbing one of its many tails could result in a 1,000-year curse.",https://images.pokemontcg.io/base1/12.png
Poliwrath - Base,Water,3,Rare Holo,"Evolves from: Poliwhirl

Attack (Water + Water + Colorless) - Water Gun: 30+ damage. Does 30 damage plus 10 more damage for each Water Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.

Attack (Water + Water + Colorless + Colorless) - Whirlpool: 40 damage. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.

Flavor: An adept swimmer at both the front crawl and breaststroke. Easily overtakes the best human swimmers.",https://images.pokemontcg.io/base1/13.png
Raichu - Base,Lightning,2,Rare Holo,"Evolves from: Pikachu

Attack (Lightning + Colorless + Colorless) - Agility: 20 damage. Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu.

Attack (Lightning + Lightning + Lightning + Colorless) - Thunder: 60 damage. Flip a coin. If tails, Raichu does 30 damage to itself.

Flavor: Its long tail serves as a ground to protect itself from its own high-voltage power.",https://images.pokemontcg.io/base1/14.png
Venusaur - Base,Grass,3,Rare Holo,"Evolves from: Ivysaur

Ability (Pokémon Power) - Energy Trans: As often as you like during your turn (before your attack), you may take 1 Grass Energy card attached to 1 of your Pokémon and attach it to a different one. This power can't be used if Venusaur is Asleep, Confused, or Paralyzed.

Attack (Grass + Grass + Grass + Grass) - Solarbeam: 60 damage. 

Flavor: This plant blooms when it is absorbing solar energy. It stays on the move to seek sunlight.",https://images.pokemontcg.io/base1/15.png
Zapdos - Base,Lightning,1,Rare Holo,"Attack (Lightning + Lightning + Lightning + Colorless) - Thunder: 60 damage. Flip a coin. If tails, Zapdos does 30 damage to itself.

Attack (Lightning + Lightning + Lightning + Lightning) - Thunderbolt: 100 damage. Discard all Energy cards attached to Zapdos in order to use this attack.

Flavor: A legendary bird Pokémon said to appear from clouds while wielding enormous lightning bolts.",https://images.pokemontcg.io/base1/16.png
Beedrill - Base,Grass,3,Rare,"Evolves from: Kakuna

Attack (Colorless + Colorless + Colorless) - Twineedle: 30× damage. Flip 2 coins. This attack does 30 damage times the number of heads.

Attack (Grass + Grass + Grass) - Poison Sting: 40 damage. Flip a coin. If heads, the Defending Pokémon is now Poisoned.

Flavor: Flies at high speed and attacks using the large, venomous stingers on its forelegs and tail.",https://images.pokemontcg.io/base1/17.png
Dragonair - Base,Colorless,2,Rare,"Evolves from: Dratini

Attack (Colorless + Colorless + Colorless) - Slam: 30× damage. Flip 2 coins. This attack does 30 damage times the number of heads.

Attack (Colorless + Colorless + Colorless + Colorless) - Hyper Beam: 20 damage. If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.

Evolves into: Dragonite

Flavor: A mystical Pokémon that exudes a gentle aura. Has the ability to change climate conditions.",https://images.pokemontcg.io/base1/18.png
Dugtrio - Base,Fighting,2,Rare,"Evolves from: Diglett

Attack (Fighting + Fighting + Colorless) - Slash: 40 damage. 

Attack (Fighting + Fighting + Fighting + Fighting) - Earthquake: 70 damage. Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)

Flavor: A team of Diglett triplets. It triggers huge earthquakes by burrowing 60 miles underground.",https://images.pokemontcg.io/base1/19.png
Electabuzz - Base,Lightning,1,Rare,"Attack (Lightning) - Thundershock: 10 damage. Flip a coin. If heads, the Defending Pokémon is now Paralyzed.

Attack (Lightning + Colorless) - Thunderpunch: 30+ damage. Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage plus Electabuzz does 10 damage to itself.

Evolves into: Electivire

Flavor: Normally found near power plants, it can wander away and cause major blackouts in cities.",https://images.pokemontcg.io/base1/20.png
Electrode - Base,Lightning,2,Rare,"Evolves from: Voltorb

Ability (Pokémon Power) - Buzzap: At any time during your turn (before your attack), you may Knock Out Electrode and attach it to 1 of your other Pokémon. If you do, choose a type of Energy. Electrode is now an Energy card (instead of a Pokémon) that provides 2 energy of that type. You can't use this power if Electrode is Asleep, Confused, or Paralyzed.

Attack (Lightning + Lightning + Lightning) - Electric Shock: 50 damage. Flip a coin. If tails, Electrode does 10 damage to itself.

Flavor: It stores electrical energy under very high pressure. It often explodes with little or no provocation.",https://images.pokemontcg.io/base1/21.png
Pidgeotto - Base,Colorless,2,Rare,"Evolves from: Pidgey

Attack (Colorless + Colorless) - Whirlwind: 20 damage. If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)

Attack (Colorless + Colorless + Colorless) - Mirror Move: If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokémon.

Evolves into: Pidgeot

Flavor: Very protective of its sprawling territory, this Pokémon will fiercely peck at any intruder.",https://images.pokemontcg.io/base1/22.png
